model_name,F1_Fold_1,Pre_Fold_1,Rec_Fold_1,F1_Fold_2,Pre_Fold_2,Rec_Fold_2,F1_Fold_3,Pre_Fold_3,Rec_Fold_3,F1_Fold_4,Pre_Fold_4,Rec_Fold_4,F1_Fold_5,Pre_Fold_5,Rec_Fold_5,F1_Fold_6,Pre_Fold_6,Rec_Fold_6,F1_Fold_7,Pre_Fold_7,Rec_Fold_7,F1_Fold_8,Pre_Fold_8,Rec_Fold_8,F1_Fold_9,Pre_Fold_9,Rec_Fold_9,F1_Fold_10,Pre_Fold_10,Rec_Fold_10,F1_av_score,pre_av_score,rec_av_score
KNN_X1,49.907,50.974,49.379,45.22,45.856,45.327,47.631,48.586,47.488,45.536,46.16,45.489,48.138,48.919,47.866,47.61,48.263,47.488,46.829,47.307,46.865,45.311,45.681,45.568,46.553,47.104,46.378,47.104,47.988,46.919,46.984,47.684,46.877
KNN_X2,49.598,50.467,49.271,48.676,49.659,48.568,46.597,47.278,46.569,47.857,48.161,47.92,49.012,49.897,49.109,49.682,50.614,49.595,48.938,49.685,48.757,47.44,48.28,47.297,45.941,46.617,45.892,47.761,48.408,47.946,48.15,48.907,48.092
SVM_X1,58.03,63.595,54.295,57.905,63.826,53.971,57.562,63.516,53.755,57.643,63.909,53.809,58.122,64.112,54.241,57.325,62.736,53.809,57.862,63.958,54.054,55.963,61.671,52.324,56.714,63.548,52.703,55.491,61.579,51.784,57.262,63.245,53.474
SVM_X2,56.248,61.314,52.674,58.508,63.764,54.889,57.871,63.312,54.187,57.832,62.417,54.403,61.262,67.032,57.32,56.618,61.7,52.998,57.306,62.451,53.784,60.553,66.091,56.703,58.64,63.534,55.027,58.403,62.997,54.865,58.324,63.461,54.685
LSVC_X1,58.452,65.279,54.025,59.93,67.009,55.538,59.586,66.366,55.375,58.27,64.642,54.187,59.461,65.758,55.321,59.329,66.701,54.727,59.221,66.178,54.757,58.697,65.173,54.486,59.41,66.431,55.027,60.984,67.838,56.757,59.334,66.137,55.02
LSVC_X2,59.974,66.23,55.7,60.526,66.731,56.402,58.817,66.086,54.295,59.719,66.763,55.321,58.978,66.034,54.619,58.697,66.239,54.133,59.88,66.89,55.459,59.641,66.671,55.189,59.077,65.742,54.811,60.526,68.4,55.622,59.583,66.579,55.155
SGD_X1,58.419,81.445,45.543,59.136,82.795,46.029,54.956,67.944,49.001,57.132,73.657,49.595,49.192,56.0,46.299,52.958,79.818,44.408,57.708,79.988,47.297,59.284,79.791,49.297,58.326,82.278,46.595,44.78,66.191,39.081,55.189,74.991,46.315
SGD_X2,53.184,71.87,44.571,57.921,80.923,45.111,59.161,83.001,46.029,58.498,81.782,45.543,58.208,81.336,45.327,57.129,81.219,44.354,45.5,97.416,31.135,59.481,83.095,46.324,45.249,97.38,29.73,46.226,74.571,34.432,54.056,83.259,41.256
LGR_X1,58.19,63.961,54.241,59.357,65.211,55.484,59.462,65.937,55.159,58.918,65.033,54.997,59.761,65.86,55.7,60.214,66.554,56.132,58.859,64.767,54.919,58.664,65.167,54.541,60.442,66.331,56.541,59.953,65.872,56.0,59.382,65.469,55.371
LGR_X2,58.111,64.599,53.809,59.452,65.756,55.267,60.558,67.572,56.186,59.405,66.289,55.105,58.632,65.172,54.403,59.525,66.603,55.105,58.227,63.987,54.27,58.957,65.054,54.919,61.111,68.593,56.541,59.294,65.012,55.351,59.327,65.864,55.096
GBM_X1,61.332,66.213,58.239,60.738,66.015,57.32,60.147,64.81,57.266,60.874,65.694,57.699,59.524,64.057,56.564,59.426,64.444,56.348,62.466,68.803,58.865,60.036,64.534,56.973,62.339,67.096,59.405,60.608,65.671,57.351,60.749,65.734,57.603
GBM_X2,58.82,62.962,56.024,60.842,66.468,57.266,61.436,66.621,58.347,62.242,67.281,58.995,59.993,65.042,56.834,60.616,65.665,57.32,61.602,66.136,58.595,61.143,66.497,57.892,59.584,64.348,56.595,61.977,67.024,58.811,60.826,65.805,57.668
XGB_X1,62.548,68.945,58.779,61.041,66.759,57.59,60.024,65.826,56.348,62.26,68.321,58.401,61.01,67.26,57.104,58.706,64.098,55.213,61.598,67.742,57.676,62.717,68.541,58.919,61.183,66.91,57.514,62.939,69.064,58.919,61.403,67.347,57.646
XGB_X2,60.565,66.76,56.942,63.314,69.423,59.643,62.965,69.173,58.995,61.251,67.012,57.482,60.175,66.34,56.348,62.145,68.36,58.131,61.198,67.313,57.459,61.313,67.326,57.514,60.902,66.169,57.459,61.135,67.247,57.243,61.496,67.512,57.722
Forest_X1,60.008,67.304,55.592,59.937,67.448,55.429,60.176,68.259,55.321,61.666,69.552,56.996,60.065,68.765,55.105,60.774,68.45,56.132,60.283,69.427,55.081,60.337,69.611,55.243,59.616,67.411,55.081,61.2,69.113,56.432,60.406,68.534,55.641
Forest_X2,60.585,68.991,55.7,62.095,70.527,57.05,58.111,66.541,53.106,59.633,67.616,54.943,61.19,68.889,56.618,60.079,67.858,55.375,60.132,68.067,55.568,58.323,66.779,53.351,60.35,68.076,55.784,61.402,70.022,56.595,60.19,68.337,55.409
Tree_X1,57.554,63.47,53.809,58.305,61.99,55.646,58.543,63.556,55.484,56.971,60.986,54.241,58.989,63.796,55.808,57.373,62.273,54.349,59.695,65.165,56.324,59.704,65.0,56.486,59.51,65.414,55.784,60.2,66.111,56.757,58.685,63.776,55.469
Tree_X2,59.684,64.707,56.348,58.344,62.685,55.105,58.596,63.525,55.375,58.06,62.767,54.889,58.778,63.54,55.538,56.921,62.304,53.323,59.648,64.851,56.541,59.343,64.473,55.784,59.198,64.12,56.108,59.213,64.478,55.946,58.778,63.745,55.496
