,feature,importance
14,f14,53262.0
16,f16,38832.0
3,f3,35349.0
4,f4,34165.0
15,f15,31049.0
0,f0,27477.0
1,f1,26427.0
2,f2,21749.0
13,f13,10651.0
6,f6,7795.0
89,f140,6811.0
12,f12,6145.0
90,f141,5668.0
10,f10,5341.0
9,f9,5275.0
11,f11,4985.0
8,f8,4084.0
77,f123,3950.0
5,f5,3924.0
46,f76,3732.0
44,f71,3362.0
78,f124,3191.0
7,f7,3174.0
39,f61,3056.0
18,f22,2744.0
86,f137,2587.0
41,f66,2161.0
38,f58,2138.0
92,f146,2100.0
26,f37,1950.0
57,f98,1743.0
45,f74,1702.0
34,f48,1658.0
93,f147,1604.0
60,f102,1329.0
81,f128,1161.0
24,f34,1156.0
70,f113,1079.0
28,f40,1070.0
58,f99,1067.0
82,f129,1042.0
19,f23,790.0
20,f27,757.0
35,f51,675.0
67,f110,663.0
42,f69,626.0
47,f77,594.0
85,f136,581.0
50,f87,568.0
43,f70,535.0
31,f43,514.0
51,f88,510.0
61,f103,497.0
64,f107,459.0
33,f47,354.0
65,f108,344.0
91,f142,344.0
54,f91,338.0
40,f63,318.0
73,f119,301.0
27,f39,281.0
25,f36,262.0
80,f127,252.0
79,f126,244.0
69,f112,221.0
62,f104,210.0
36,f56,196.0
17,f20,189.0
49,f80,160.0
71,f115,149.0
56,f95,135.0
83,f132,129.0
66,f109,124.0
22,f31,106.0
84,f135,92.0
30,f42,81.0
37,f57,79.0
87,f138,77.0
88,f139,70.0
53,f90,66.0
74,f120,65.0
68,f111,63.0
63,f106,62.0
21,f30,52.0
52,f89,46.0
72,f117,36.0
75,f121,24.0
59,f101,23.0
55,f94,18.0
23,f32,14.0
32,f44,12.0
29,f41,9.0
76,f122,3.0
48,f78,2.0
